"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1316","Успешный логин","webkit","2026-08-04","passed","2026-08-04","","login.spec.ts","",""
"","1021","Сортировка товаров по цене","firefox","2026-08-04","passed","2026-08-04","","inventory.spec.ts","",""
"","774","Товар отображается в корзине","Mobile Chrome","2026-08-04","passed","2026-08-04","","cart.spec.ts","",""
"","548","Логин заблокированного пользователя","Mobile Chrome","2026-08-04","passed","2026-08-04","","login.spec.ts","",""
"","1554","Выход из системы","chromium","2026-08-04","passed","2026-08-04","","logout.spec.ts","",""
"","702","Добавление товара в корзину","Mobile Chrome","2026-08-04","passed","2026-08-04","","inventory.spec.ts","",""
"","733","Оформление с пустыми полями","chromium","2026-08-04","passed","2026-08-04","","checkout.spec.ts","",""
"","903","Отображение списка товаров","firefox","2026-08-04","passed","2026-08-04","","inventory.spec.ts","",""
"","634","Сортировка товаров по цене","chromium","2026-08-04","passed","2026-08-04","","inventory.spec.ts","",""
"","502","Логин с пустым username","chromium","2026-08-04","passed","2026-08-04","","login.spec.ts","",""
"","1741","Полный цикл оформления заказа","Mobile Chrome","2026-08-04","passed","2026-08-04","","checkout.spec.ts","",""
"","1140","Логин с пустым username","webkit","2026-08-04","passed","2026-08-04","","login.spec.ts","",""
"","591","Негативный логин: standard_user","Mobile Chrome","2026-08-04","passed","2026-08-04","","login_ddt.spec.ts","",""
"","787","Добавление нескольких товаров","chromium","2026-08-04","passed","2026-08-04","","inventory.spec.ts","",""
"","3019","Товар отображается в корзине","webkit","2026-08-04","passed","2026-08-04","","cart.spec.ts","",""
"","1033","Добавление товара в корзину","firefox","2026-08-04","passed","2026-08-04","","inventory.spec.ts","",""
"","847","Негативный логин: пустое поле","firefox","2026-08-04","passed","2026-08-04","","login_ddt.spec.ts","",""
"","534","Негативный логин: locked_out_user","chromium","2026-08-04","passed","2026-08-04","","login_ddt.spec.ts","",""
"","929","Товар отображается в корзине","chromium","2026-08-04","passed","2026-08-04","","cart.spec.ts","",""
"","2338","Товар отображается в корзине","firefox","2026-08-04","passed","2026-08-04","","cart.spec.ts","",""
"","598","Отображение списка товаров","chromium","2026-08-04","passed","2026-08-04","","inventory.spec.ts","",""
"","618","Переход в корзину через иконку","Mobile Chrome","2026-08-04","passed","2026-08-04","","cart.spec.ts","",""
"","13","getFormattedDate возвращает строку в формате DD-MM-YYYY","webkit","2026-08-04","passed","2026-08-04","","dateHelper.spec.ts","",""
"","1139","Негативный логин: standard_user","webkit","2026-08-04","passed","2026-08-04","","login_ddt.spec.ts","",""
"","1528","Добавление товара в корзину","webkit","2026-08-04","passed","2026-08-04","","inventory.spec.ts","",""
"","1866","Полный цикл оформления заказа","webkit","2026-08-04","passed","2026-08-04","","checkout.spec.ts","",""
"","3082","Выход из системы","webkit","2026-08-04","passed","2026-08-04","","logout.spec.ts","",""
"","755","Удаление товара из корзины","Mobile Chrome","2026-08-04","passed","2026-08-04","","inventory.spec.ts","",""
"","1052","Успешный логин","firefox","2026-08-04","passed","2026-08-04","","login.spec.ts","",""
"","540","Негативный логин: locked_out_user","Mobile Chrome","2026-08-04","passed","2026-08-04","","login_ddt.spec.ts","",""
"","1048","Добавление нескольких товаров","firefox","2026-08-04","passed","2026-08-04","","inventory.spec.ts","",""
"","465","Логин заблокированного пользователя","chromium","2026-08-04","passed","2026-08-04","","login.spec.ts","",""
"","898","Переход в корзину через иконку","chromium","2026-08-04","passed","2026-08-04","","cart.spec.ts","",""
"","2106","Переход в корзину через иконку","firefox","2026-08-04","passed","2026-08-04","","cart.spec.ts","",""
"","518","Логин с пустым username","Mobile Chrome","2026-08-04","passed","2026-08-04","","login.spec.ts","",""
"","690","Удаление товара из корзины","chromium","2026-08-04","passed","2026-08-04","","inventory.spec.ts","",""
"","529","Негативный логин: пустое поле","chromium","2026-08-04","passed","2026-08-04","","login_ddt.spec.ts","",""
"","947","Логин с пустым username","firefox","2026-08-04","passed","2026-08-04","","login.spec.ts","",""
"","1659","Удаление товара из корзины","webkit","2026-08-04","passed","2026-08-04","","cart.spec.ts","",""
"","1043","Удаление товара из корзины","firefox","2026-08-04","passed","2026-08-04","","inventory.spec.ts","",""
"","736","Удаление товара из корзины","chromium","2026-08-04","passed","2026-08-04","","cart.spec.ts","",""
"","1434","Полный цикл оформления заказа","firefox","2026-08-04","passed","2026-08-04","","checkout.spec.ts","",""
"","572","Успешный логин","Mobile Chrome","2026-08-04","passed","2026-08-04","","login.spec.ts","",""
"","709","Добавление нескольких товаров","Mobile Chrome","2026-08-04","passed","2026-08-04","","inventory.spec.ts","",""
"","926","Негативный логин: standard_user","firefox","2026-08-04","passed","2026-08-04","","login_ddt.spec.ts","",""
"","647","Добавление товара в корзину","chromium","2026-08-04","passed","2026-08-04","","inventory.spec.ts","",""
"","1198","Удаление товара из корзины","firefox","2026-08-04","passed","2026-08-04","","cart.spec.ts","",""
"","1625","Добавление нескольких товаров","webkit","2026-08-04","passed","2026-08-04","","inventory.spec.ts","",""
"","4","getFormattedDate возвращает строку в формате DD-MM-YYYY","firefox","2026-08-04","passed","2026-08-04","","dateHelper.spec.ts","",""
"","677","Сортировка товаров по цене","Mobile Chrome","2026-08-04","passed","2026-08-04","","inventory.spec.ts","",""
